Model,Method,Metric,Value
source_only,platt_scaling,auc,0.6532522355388082
source_only,platt_scaling,average_precision,0.5070411381826538
source_only,platt_scaling,precision,0.5473372781065089
source_only,platt_scaling,recall,0.3753623188405797
source_only,platt_scaling,sensitivity,0.3753623188405797
source_only,platt_scaling,specificity,0.8418721393769378
source_only,platt_scaling,youdens_j,0.21723445821751763
source_only,platt_scaling,f1,0.4453232462173315
source_only,platt_scaling,balanced_accuracy,0.6086172291087588
source_only,platt_scaling,mcc,0.24355275904682394
source_only,platt_scaling,brier_score,0.20654955558932395
source_only,platt_scaling,event_rate,0.33747432260588867
source_only,platt_scaling,tp,1295.0
source_only,platt_scaling,fp,1071.0
source_only,platt_scaling,tn,5702.0
source_only,platt_scaling,fn,2155.0
source_only,isotonic_regression,auc,0.6517645510627236
source_only,isotonic_regression,average_precision,0.4818694559515516
source_only,isotonic_regression,precision,0.48775260257195346
source_only,isotonic_regression,recall,0.4617391304347826
source_only,isotonic_regression,sensitivity,0.4617391304347826
source_only,isotonic_regression,specificity,0.7529898124907721
source_only,isotonic_regression,youdens_j,0.21472894292555478
source_only,isotonic_regression,f1,0.4743895175699821
source_only,isotonic_regression,balanced_accuracy,0.6073644714627774
source_only,isotonic_regression,mcc,0.217756726688824
source_only,isotonic_regression,brier_score,0.20658062858862491
source_only,isotonic_regression,event_rate,0.33747432260588867
source_only,isotonic_regression,tp,1593.0
source_only,isotonic_regression,fp,1673.0
source_only,isotonic_regression,tn,5100.0
source_only,isotonic_regression,fn,1857.0
target_only,platt_scaling,auc,0.7055549635487882
target_only,platt_scaling,average_precision,0.5617362844588913
target_only,platt_scaling,precision,0.5342465753424658
target_only,platt_scaling,recall,0.5765217391304348
target_only,platt_scaling,sensitivity,0.5765217391304348
target_only,platt_scaling,specificity,0.7439834637531375
target_only,platt_scaling,youdens_j,0.3205052028835724
target_only,platt_scaling,f1,0.5545796737766625
target_only,platt_scaling,balanced_accuracy,0.6602526014417862
target_only,platt_scaling,mcc,0.31494300930535646
target_only,platt_scaling,brier_score,0.19542576857331803
target_only,platt_scaling,event_rate,0.33747432260588867
target_only,platt_scaling,tp,1989.0
target_only,platt_scaling,fp,1734.0
target_only,platt_scaling,tn,5039.0
target_only,platt_scaling,fn,1461.0
target_only,isotonic_regression,auc,0.704704741974207
target_only,isotonic_regression,average_precision,0.5410450267307747
target_only,isotonic_regression,precision,0.5332083556507766
target_only,isotonic_regression,recall,0.5771014492753623
target_only,isotonic_regression,sensitivity,0.5771014492753623
target_only,isotonic_regression,specificity,0.7426546582016831
target_only,isotonic_regression,youdens_j,0.3197561074770454
target_only,isotonic_regression,f1,0.5542873051224944
