Model,Method,Metric,Value
source_only,platt_scaling,auc,0.5421965018763544
source_only,platt_scaling,average_precision,0.2799080526538775
source_only,platt_scaling,precision,0.27327887981330223
source_only,platt_scaling,recall,0.7928232904536222
source_only,platt_scaling,sensitivity,0.7928232904536222
source_only,platt_scaling,specificity,0.2764869888475836
source_only,platt_scaling,youdens_j,0.06931027930120592
source_only,platt_scaling,f1,0.406456091634849
source_only,platt_scaling,balanced_accuracy,0.534655139650603
source_only,platt_scaling,mcc,0.0690212496456206
source_only,platt_scaling,brier_score,0.19038959931458474
source_only,platt_scaling,event_rate,0.255492129389379
source_only,platt_scaling,tp,1171.0
source_only,platt_scaling,fp,3114.0
source_only,platt_scaling,tn,1190.0
source_only,platt_scaling,fn,306.0
source_only,isotonic_regression,auc,0.5437809736907677
source_only,isotonic_regression,average_precision,0.2772089119907196
source_only,isotonic_regression,precision,0.2723487631643399
source_only,isotonic_regression,recall,0.7528774542992552
source_only,isotonic_regression,sensitivity,0.7528774542992552
source_only,isotonic_regression,specificity,0.30971189591078063
source_only,isotonic_regression,youdens_j,0.06258935021003587
source_only,isotonic_regression,f1,0.4
source_only,isotonic_regression,balanced_accuracy,0.5312946751050179
source_only,isotonic_regression,mcc,0.05993331349028399
source_only,isotonic_regression,brier_score,0.1898190718908582
source_only,isotonic_regression,event_rate,0.255492129389379
source_only,isotonic_regression,tp,1112.0
source_only,isotonic_regression,fp,2971.0
source_only,isotonic_regression,tn,1333.0
source_only,isotonic_regression,fn,365.0
target_only,platt_scaling,auc,0.7022688189160686
target_only,platt_scaling,average_precision,0.46637230026811627
target_only,platt_scaling,precision,0.41016166281755195
target_only,platt_scaling,recall,0.6012186865267434
target_only,platt_scaling,sensitivity,0.6012186865267434
target_only,platt_scaling,specificity,0.7032992565055762
target_only,platt_scaling,youdens_j,0.3045179430323195
target_only,platt_scaling,f1,0.4876441515650742
target_only,platt_scaling,balanced_accuracy,0.6522589715161597
target_only,platt_scaling,mcc,0.2744075809504528
target_only,platt_scaling,brier_score,0.1697535482622689
target_only,platt_scaling,event_rate,0.255492129389379
target_only,platt_scaling,tp,888.0
target_only,platt_scaling,fp,1277.0
target_only,platt_scaling,tn,3027.0
target_only,platt_scaling,fn,589.0
target_only,isotonic_regression,auc,0.7008502270250407
target_only,isotonic_regression,average_precision,0.4456157807918206
target_only,isotonic_regression,precision,0.4270887389724961
target_only,isotonic_regression,recall,0.5572105619498985
target_only,isotonic_regression,sensitivity,0.5572105619498985
target_only,isotonic_regression,specificity,0.7434944237918215
target_only,isotonic_regression,youdens_j,0.3007049857417199
target_only,isotonic_regression,f1,0.4835487661574618
target_only,isotonic_regression,balanced_accuracy,0.6503524928708599
target_only,isotonic_regression,mcc,0.27820843635128695
target_only,isotonic_regression,brier_score,0.17133166519428963
target_only,isotonic_regression,event_rate,0.255492129389379
target_only,isotonic_regression,tp,823.0
target_only,isotonic_regression,fp,1104.0
target_only,isotonic_regression,tn,3200.0
target_only,isotonic_regression,fn,654.0
prototypical_networks,platt_scaling,auc,0.4986007568340326
prototypical_networks,platt_scaling,average_precision,0.2569211662085376
prototypical_networks,platt_scaling,precision,0.275
prototypical_networks,platt_scaling,recall,0.16384563303994584
prototypical_networks,platt_scaling,sensitivity,0.16384563303994584
prototypical_networks,platt_scaling,specificity,0.8517657992565055
prototypical_networks,platt_scaling,youdens_j,0.015611432296451344
prototypical_networks,platt_scaling,f1,0.20534577853203226
prototypical_networks,platt_scaling,balanced_accuracy,0.5078057161482257
prototypical_networks,platt_scaling,mcc,0.01895332639294055
prototypical_networks,platt_scaling,brier_score,0.19039449061150537
prototypical_networks,platt_scaling,event_rate,0.255492129389379
prototypical_networks,platt_scaling,tp,242.0
prototypical_networks,platt_scaling,fp,638.0
prototypical_networks,platt_scaling,tn,3666.0
prototypical_networks,platt_scaling,fn,1235.0
prototypical_networks,isotonic_regression,auc,0.5003156359092202
prototypical_networks,isotonic_regression,average_precision,0.25580543718416754
prototypical_networks,isotonic_regression,precision,0.2564684521107581
prototypical_networks,isotonic_regression,recall,0.3825321597833446
prototypical_networks,isotonic_regression,sensitivity,0.3825321597833446
prototypical_networks,isotonic_regression,specificity,0.6194237918215613
prototypical_networks,isotonic_regression,youdens_j,0.0019559516049059145
prototypical_networks,isotonic_regression,f1,0.3070652173913043
prototypical_networks,isotonic_regression,balanced_accuracy,0.500977975802453
prototypical_networks,isotonic_regression,mcc,0.0017565360498373844
prototypical_networks,isotonic_regression,brier_score,0.19174026693020946
prototypical_networks,isotonic_regression,event_rate,0.255492129389379
prototypical_networks,isotonic_regression,tp,565.0
prototypical_networks,isotonic_regression,fp,1638.0
prototypical_networks,isotonic_regression,tn,2666.0
prototypical_networks,isotonic_regression,fn,912.0
domain_adversarial,platt_scaling,auc,0.5020322453581937
domain_adversarial,platt_scaling,average_precision,0.2614758855244068
domain_adversarial,platt_scaling,precision,0.2597902846137385
domain_adversarial,platt_scaling,recall,0.8219363574813812
domain_adversarial,platt_scaling,sensitivity,0.8219363574813812
domain_adversarial,platt_scaling,specificity,0.19632899628252787
domain_adversarial,platt_scaling,youdens_j,0.01826535376390903
domain_adversarial,platt_scaling,f1,0.39479674796747966
